Series;Slump_cm;CP1_7d;CP2_7d;CP3_14d;CP4_14d
1;23,5;19,3;21,39;23,5;23,98
2;22;18,55;20,91;21,91;23,24
3;22,5;19,84;19,33;24,22;23,94
4;22;14,53;18,97;23,11;24,51
5;22;20,33;19,38;21,58;21,42
6;25;14,4;15,33;21,3;22,97
7;24,5;14,44;15,04;24,36;24,57
8;24;18,86;21,86;24,4;24,37
9;24;15,43;22,46;23,12;23,05
10;25;19,61;15,44;24,69;24,32
11;24;21,47;22,33;24,46;22,93
12;25;20,07;16,59;24,12;23,5
13;24,5;21,36;21,48;21,65;22,18
14;24;21,75;23,24;25,01;23,3
15;24;13,37;17,21;23,03;21,93
16;24;19,17;20,91;23,68;23,06
17;24;20,04;23,3;24,18;23,78
18;24;23,85;22,19;24,52;23,02
19;24;21,95;23,75;24,01;24,15
20;23;24,23;21,38;25,1;23,67
21;24;21,2;22,77;23,44;23,77
22;24;24,18;23,63;25,58;25,81
23;23;23,64;23,63;26,22;25,45
24;23,5;21,66;23,45;26,31;25,59
25;24,5;23,9;22,7;26,52;25,63
26;21,5;24,1;23,89;25,34;25,53
27;21;23,58;23,41;25,39;25,43
28;20;23,13;22,43;26,59;26,15
29;24;20,89;20,35;24,88;25,03
30;23;22,49;21,01;24,7;24,96
